COUPON,NEW,VACATION_1,SW_1,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT_1,GATE_1,DISTANCE,FARE,FARE_B
1,3,0,1,5291.99,28637,21112,3036732,205711,1,1,312,64.11,0
1.06,3,0,0,5419.16,26993,29838,3532657,7145897,1,1,576,174.47,1
1.06,3,0,0,9185.28,30124,29838,5787293,7145897,1,1,364,207.76,1
1.06,3,0,1,2657.35,29260,29838,7830332,7145897,0,1,612,85.47,0
1.06,3,0,1,2657.35,29260,29838,7830332,7145897,1,1,612,85.47,0
1.01,3,0,1,3408.11,26046,29838,2230955,7145897,1,1,309,56.76,0
1.28,3,0,0,6754.48,28637,29838,3036732,7145897,1,1,1220,228,1
1.15,3,1,1,5584,26752,29838,1440377,7145897,1,1,921,116.54,0
1.33,3,0,1,4662.44,27211,29838,3770125,7145897,1,1,1249,172.63,1
1.6,2,0,1,2617,25450,29838,1694803,7145897,1,1,964,114.76,0
1.57,3,1,1,1772.59,24575,29838,1197234,7145897,1,1,2104,158.2,0
1.5,1,0,1,3932.29,24706,29838,9056076,7145897,1,1,2329,228.99,1
1.12,3,0,1,4471.62,25995,29838,1115048,7145897,1,1,587,79.17,0
1.29,3,0,1,4356.12,22038,29838,1308499,7145897,1,1,992,132.05,0
1,3,0,0,2626.9,32991,29838,8621121,7145897,0,1,181,117.23,0
1,3,0,0,2626.9,32991,29838,8621121,7145897,0,1,181,117.23,0
1,3,0,0,2626.9,32991,29838,8621121,7145897,1,0,181,117.23,0
1.13,3,1,1,5706.76,22360,29838,1421287,7145897,1,1,788,106.11,0
1.86,3,0,1,1230.48,23025,29838,2753373,7145897,1,1,2001,181.16,1
1.93,3,0,1,2000.67,21121,29838,1228816,7145897,1,1,1866,157.5,0
1.87,3,0,1,1572.93,23903,29838,2673620,7145897,1,1,2290,200.2,1
1.52,3,0,0,2967.59,38813,29838,1653017,7145897,1,1,2454,246.85,1
1.14,3,0,1,4191.24,25824,29838,2549844,7145897,1,1,729,99.7,0
1.13,3,1,1,5201.34,23654,29838,2195215,7145897,1,1,846,106.77,0
1.16,3,0,1,3627.46,29260,23858,7830332,895414,0,1,576,113.5,0
1.16,3,0,1,3627.46,29260,23858,7830332,895414,1,1,576,113.5,0
1.07,3,0,1,5255.24,30916,23901,2230831,372606,1,1,403,69.12,0
1.25,3,0,0,5736.34,26993,30124,3532657,5787293,1,1,939,210,1
1.01,3,0,0,4040.09,32991,23184,8621121,1173217,0,1,291,134.3,0
1.01,3,0,0,4040.09,32991,23184,8621121,1173217,0,1,291,134.3,0
1.01,3,0,0,4040.09,32991,23184,8621121,1173217,1,0,291,134.3,0
1.34,0,0,0,2587.89,32991,18851,8621121,254153,0,1,637,118.95,0
1.34,3,0,0,2587.89,32991,18851,8621121,254153,0,1,637,118.95,0
1.34,1,0,0,2587.89,32991,18851,8621121,254153,1,0,637,118.95,0
1.01,3,0,0,4435.92,26993,25237,3532657,1318892,1,0,227,97.96,0
1.25,3,0,0,8589.17,30124,25237,5787293,1318892,1,0,722,237.8,1
1.16,3,0,0,4523.31,29260,25237,7830332,1318892,0,0,589,234.15,1
1.16,3,0,0,4523.31,29260,25237,7830332,1318892,1,0,589,234.15,1
1.14,3,0,0,4439.86,28637,25237,3036732,1318892,1,0,940,203.17,1
1.12,3,0,0,8714.03,32991,25237,8621121,1318892,0,0,539,250.73,1
1.12,3,0,0,8714.03,32991,25237,8621121,1318892,0,0,539,250.73,1
1.12,3,0,0,8714.03,32991,25237,8621121,1318892,1,0,539,250.73,1
1.04,3,0,0,2712.37,26993,29260,3532657,7830332,0,1,595,106.6,0
1.04,3,0,0,2712.37,26993,29260,3532657,7830332,1,1,595,106.6,0
1.25,3,0,1,4417.16,23665,29260,1038660,7830332,0,1,974,136.27,0
1.25,3,0,1,4417.16,23665,29260,1038660,7830332,1,1,974,136.27,0
1.15,1,0,0,3977.23,30124,29260,5787293,7830332,0,1,854,230.87,1
1.15,3,0,0,3977.23,30124,29260,5787293,7830332,1,1,854,230.87,1
1.01,3,0,0,3910.81,25059,29260,1595139,7830332,0,0,254,180.56,1
1.01,0,0,0,3910.81,25059,29260,1595139,7830332,1,0,254,180.56,1
1.16,3,0,0,9350.13,26993,25059,3532657,1595139,1,0,371,215.83,1
1.12,3,0,0,4478.87,26993,26046,3532657,2915745,1,1,561,197.1,1
1.01,3,0,1,2800.91,29260,26046,7830332,2915745,0,1,316,69.1,0
1.01,1,0,1,2800.91,29260,26046,7830332,2915745,1,1,316,69.1,0
1.06,3,0,0,5110.54,28637,22263,3036732,472254,1,1,592,91.83,0
1.19,3,0,0,4037.09,27211,22263,3770125,472254,1,1,817,111.66,0
1.16,3,1,0,3465.14,24575,22263,1197234,472254,1,1,602,57.62,0
1.36,3,0,0,4384.63,24706,22263,9056076,472254,1,1,833,104.72,0
1.36,3,0,0,2421.04,32991,22263,8621121,472254,0,1,1636,154.74,0
1.36,3,0,0,2421.04,32991,22263,8621121,472254,0,1,1636,154.74,0
1.36,3,0,0,2421.04,32991,22263,8621121,472254,1,0,1636,154.74,0
1.09,3,0,0,4351.31,23025,22263,2753373,472254,1,1,550,77.98,0
1.68,3,0,0,2661.53,31981,22263,4549784,472254,1,1,1476,157.2,0
1.68,3,0,0,2661.53,31981,22263,4549784,472254,0,1,1476,157.2,0
