COUPON,NEW,HI,S_INCOME,E_INCOME,S_POP,E_POP,DISTANCE,VACATION_Yes,SW_Yes,SLOT_Free,GATE_Free,FARE
1.36,3,4384.63,24706,22263,9056076,472254,833,0,0,1,1,104.72
1.1,3,3552.11,24575,20375,1197234,766956,357,1,1,1,1,49.77
1.18,3,7702.88,30124,28739,5787293,2761118,1114,0,0,1,0,258.85
1,3,4144.01,26752,22360,1440377,1421287,174,1,1,1,1,45.55
1.36,3,2263.81,24575,32991,1197234,8621121,2237,1,0,1,0,169.41
1.25,3,4275.35,26993,23025,3532657,2753373,1591,0,0,1,1,200.09
1.01,3,3910.81,25059,29260,1595139,7830332,254,0,0,0,0,180.56
1.36,3,5679.25,27211,27994,3770125,4948339,1347,0,0,1,1,353.56
1.08,3,8369.88,26506,31981,4459144,4549784,391,0,0,1,0,205.96
1.19,3,3413.42,29260,24706,7830332,9056076,1751,0,0,1,1,233.78
1.07,3,4636,26993,25824,3532657,2549844,471,0,0,1,1,199.8
1.08,3,5792.28,29260,29055,7830332,1862106,902,0,0,1,1,174.06
1.02,3,9130.73,23903,24236,2673620,1481076,472,0,1,1,1,57.57
1.19,3,4468.8,26993,27211,3532657,3770125,701,0,0,1,1,233.16
1,3,8795.73,24706,29846,9056076,2237227,325,0,1,1,1,56.43
1.36,0,4070.45,26046,24575,2230955,1197234,1831,1,1,1,1,159.12
1,3,4449.76,32991,24205,8621121,905329,147,0,0,1,0,106.29
1.36,3,2494.45,24575,27994,1197234,4948339,2179,1,0,1,1,165.9
1.2,3,6496.3,29055,23903,1862106,2673620,840,0,0,1,1,134.79
1.5,1,3932.29,24706,29838,9056076,7145897,2329,0,1,1,1,228.99
1.15,3,5550.56,23903,29284,2673620,298680,488,1,1,1,1,68.59
1.17,3,6797.8,27994,37375,4948339,991717,960,1,0,1,1,124.87
1.02,3,5230.32,29260,25127,7830332,679984,428,0,1,0,1,67.77
1.11,3,3046.45,24502,32991,125722,8621121,475,0,0,0,1,174.87
1.17,3,2517.74,24706,32991,9056076,8621121,2467,0,0,0,1,326.47
1.4,3,2617.87,25450,32991,1694803,8621121,1103,0,0,0,1,223.99
1.15,3,2044.21,29260,24575,7830332,1197234,1519,1,1,1,1,123.74
1.04,3,2712.37,26993,29260,3532657,7830332,595,0,0,1,1,106.6
1.27,3,2982.62,30124,23654,5787293,2195215,1183,1,0,1,1,124.82
1.2,3,2621.01,29260,22038,7830332,1308499,829,0,1,0,1,132.85
1.1,0,2422.98,32991,23654,8621121,2195215,1009,1,0,1,0,123.89
1.03,3,5135.88,30916,21121,2230831,1228816,696,0,1,1,1,78.3
1.06,3,5110.54,28637,22263,3036732,472254,592,0,0,1,1,91.83
1.15,0,3947.24,29260,21207,7830332,2105604,1187,1,0,1,1,168.92
1.52,3,2019.98,32991,30916,8621121,2230831,2411,0,0,0,1,289.25
1.45,3,3198.81,29260,23614,7830332,1008768,865,1,0,0,1,158.63
1.11,3,4124.55,29260,24205,7830332,905329,842,0,0,0,1,219.38
1.01,3,3923.94,24706,23025,9056076,2753373,366,0,1,1,1,51.73
1.34,3,3840.28,23614,32991,1008768,8621121,842,1,0,1,0,183.43
1.2,3,5068.53,29260,38813,7830332,1653017,1851,0,0,0,1,291.66
