COUPON,NEW,HI,S_INCOME,E_INCOME,S_POP,E_POP,DISTANCE,VACATION_Yes,SW_Yes,SLOT_Free,GATE_Free,FARE
1.17,1,2173.45,22360.0,25995.0,1421287,1115048,615,True,True,True,True,87.8
1.01,3,6017.66,26993.0,37375.0,3532657,991717,546,True,False,True,True,104.11
1.0,3,6131.6,29055.0,25127.0,1862106,679984,474,False,False,True,True,139.81
1.05,3,3316.9,29260.0,32991.0,7830332,8621121,723,False,False,False,True,159.71
1.0,1,5149.03,28637.0,20927.0,3036732,1021733,180,False,True,True,True,66.14
1.12,3,6583.72,28637.0,32991.0,3036732,8621121,1389,False,False,True,False,304.18
1.01,3,3935.01,24575.0,21121.0,1197234,1228816,359,True,True,True,True,57.4
1.42,3,5870.66,26506.0,30916.0,4459144,2230831,1932,False,False,True,False,285.34
1.07,3,5255.24,30916.0,23901.0,2230831,372606,403,False,True,True,True,69.12
1.0,3,2806.92,32991.0,22069.0,8621121,743633,199,False,False,True,False,120.84
1.0,3,9592.99,24706.0,24575.0,9056076,1197234,226,True,True,True,True,52.92
1.6,2,2366.36,22360.0,21276.0,1421287,1481709,1032,True,True,True,True,118.17
1.36,3,3217.37,30268.0,22360.0,1106780,1421287,1045,True,False,True,True,114.5
1.01,3,4729.11,24706.0,24236.0,9056076,1481076,361,False,True,True,True,56.79
1.04,3,2447.14,38813.0,26681.0,1653017,873131,2401,True,False,True,True,177.09
1.08,3,3819.52,28637.0,22360.0,3036732,1421287,984,True,False,True,True,153.58
1.0,3,4992.63,28637.0,27211.0,3036732,3770125,234,False,True,True,True,67.78
1.16,3,4677.03,28637.0,26752.0,3036732,1440377,1118,True,False,True,True,207.84
1.09,3,5560.73,29260.0,31981.0,7830332,4549784,591,False,False,True,True,145.61
1.0,3,4449.76,32991.0,24205.0,8621121,905329,147,False,False,False,True,106.29
1.18,3,7362.53,28739.0,27994.0,2761118,4948339,979,False,False,True,False,295.46
1.46,3,2946.23,22038.0,31981.0,1308499,4549784,956,False,False,False,True,164.3
1.34,3,3840.28,23614.0,32991.0,1008768,8621121,842,True,False,False,True,183.43
1.21,3,6134.26,24510.0,25475.0,379566,1489247,943,True,False,True,True,105.73
1.01,0,3910.81,25059.0,29260.0,1595139,7830332,254,False,False,True,False,180.56
1.26,3,4876.68,23903.0,26409.0,2673620,249561,933,False,True,True,True,96.58
1.0,3,5034.18,25450.0,25824.0,1694803,2549844,244,False,True,True,True,56.8
1.14,3,4191.24,25824.0,29838.0,2549844,7145897,729,False,True,True,True,99.7
1.24,3,4133.35,30124.0,21207.0,5787293,2105604,1259,True,False,True,True,158.5
