COUPON,NEW,HI,S_INCOME,E_INCOME,S_POP,E_POP,DISTANCE,VACATION_Yes,SW_Yes,SLOT_Free,GATE_Free,FARE
1.17,1,2173.45,22360,25995,1421287,1115048,615,1,1,1,1,87.8
1.01,3,6017.66,26993,37375,3532657,991717,546,1,0,1,1,104.11
1,3,6131.6,29055,25127,1862106,679984,474,0,0,1,1,139.81
1.05,3,3316.9,29260,32991,7830332,8621121,723,0,0,0,1,159.71
1,1,5149.03,28637,20927,3036732,1021733,180,0,1,1,1,66.14
1.12,3,6583.72,28637,32991,3036732,8621121,1389,0,0,1,0,304.18
1.01,3,3935.01,24575,21121,1197234,1228816,359,1,1,1,1,57.4
1.42,3,5870.66,26506,30916,4459144,2230831,1932,0,0,1,0,285.34
1.07,3,5255.24,30916,23901,2230831,372606,403,0,1,1,1,69.12
1,3,2806.92,32991,22069,8621121,743633,199,0,0,1,0,120.84
1,3,9592.99,24706,24575,9056076,1197234,226,1,1,1,1,52.92
1.6,2,2366.36,22360,21276,1421287,1481709,1032,1,1,1,1,118.17
1.36,3,3217.37,30268,22360,1106780,1421287,1045,1,0,1,1,114.5
1.01,3,4729.11,24706,24236,9056076,1481076,361,0,1,1,1,56.79
1.04,3,2447.14,38813,26681,1653017,873131,2401,1,0,1,1,177.09
1.08,3,3819.52,28637,22360,3036732,1421287,984,1,0,1,1,153.58
1,3,4992.63,28637,27211,3036732,3770125,234,0,1,1,1,67.78
1.16,3,4677.03,28637,26752,3036732,1440377,1118,1,0,1,1,207.84
1.09,3,5560.73,29260,31981,7830332,4549784,591,0,0,1,1,145.61
1,3,4449.76,32991,24205,8621121,905329,147,0,0,0,1,106.29
1.18,3,7362.53,28739,27994,2761118,4948339,979,0,0,1,0,295.46
1.46,3,2946.23,22038,31981,1308499,4549784,956,0,0,0,1,164.3
1.34,3,3840.28,23614,32991,1008768,8621121,842,1,0,0,1,183.43
1.21,3,6134.26,24510,25475,379566,1489247,943,1,0,1,1,105.73
1.01,0,3910.81,25059,29260,1595139,7830332,254,0,0,1,0,180.56
1.26,3,4876.68,23903,26409,2673620,249561,933,0,1,1,1,96.58
1,3,5034.18,25450,25824,1694803,2549844,244,0,1,1,1,56.8
1.14,3,4191.24,25824,29838,2549844,7145897,729,0,1,1,1,99.7
1.24,3,4133.35,30124,21207,5787293,2105604,1259,1,0,1,1,158.5
1.02,3,3463.96,29260,25995,7830332,1115048,401,0,1,0,1,84.21
1,0,2522.01,24706,24575,9056076,1197234,238,1,1,1,1,55.57
1.49,3,1833.95,30124,24575,5787293,1197234,2372,1,0,1,1,133.35
1.44,3,4112.44,26993,24575,3532657,1197234,1744,1,0,1,1,143.62
1.14,3,2260.17,29260,23654,7830332,2195215,1008,1,1,1,1,127.06
1.04,3,4215.01,26993,25054,3532657,2374260,525,0,0,1,0,93.55
1.01,3,3266.44,31981,26101,4549784,1021830,225,0,0,0,1,109.44
1.01,1,4343.35,26993,21207,3532657,2105604,595,1,0,1,1,97.93
1.1,3,6102.03,25059,32991,1595139,8621121,582,0,0,0,0,205
1.14,3,2260.17,29260,23654,7830332,2195215,1008,1,1,0,1,127.06
1.13,3,4146.13,29260,30268,7830332,1106780,779,0,0,0,1,240.88
1.06,3,4548.61,24575,38813,1197234,1653017,416,1,1,1,1,72.58
1.24,3,4935.18,28637,38813,3036732,1653017,1463,0,0,1,1,297.83
1.04,3,2712.37,26993,29260,3532657,7830332,595,0,0,0,1,106.6
1.18,3,8142.6,29055,34880,1862106,1594251,943,0,0,1,1,263.48
1.15,3,6143.2,28739,32991,2761118,8621121,1015,0,0,1,0,278.39
1.12,3,8714.03,32991,25237,8621121,1318892,539,0,0,1,0,250.73
1.24,3,4580.05,23654,31981,2195215,4549784,815,1,0,0,1,132.94
1.04,3,5483.29,30124,31981,5787293,4549784,400,0,0,1,1,132.79
1.25,3,4809.1,29055,32991,1862106,8621121,1624,0,0,1,0,270.36
1,0,5149.7,21207,22360,2105604,1421287,192,1,0,1,1,96.53
1.16,2,7746.63,26506,25995,4459144,1115048,466,0,1,1,0,166.25
1.27,3,3543.34,32991,25475,8621121,1489247,657,0,0,0,1,195.64
1.02,3,4109.87,29260,24307,7830332,989164,276,0,1,1,1,68.06
1.37,3,3264.94,24706,27994,9056076,4948339,2407,0,0,1,1,293.21
1.56,3,3391.87,24502,23025,125722,2753373,1673,0,1,1,1,158
1.13,3,7845.92,28739,30916,2761118,2230831,1402,0,0,1,0,186.96
1.01,3,5130.29,28637,21276,3036732,1481709,242,0,1,1,1,63.69
1.4,3,2617.87,25450,32991,1694803,8621121,1103,0,0,1,0,223.99
1.2,3,3247.31,29260,26752,7830332,379566,1108,1,0,1,1,136.68
1.36,3,2263.81,24575,32991,1197234,8621121,2237,1,0,0,1,169.41
1.16,3,5772.86,28637,21207,3036732,2105604,1116,1,0,1,1,185.11
1.87,3,1572.93,23903,29838,2673620,7145897,2290,0,1,1,1,200.2
1.05,3,5108.01,23025,34880,2753373,1594251,614,0,1,1,1,92.57
1.02,3,6372.59,28690,30916,249642,2230831,1443,0,0,1,1,142.83
1.01,3,9819.56,24706,24236,9056076,1481076,349,0,1,1,1,52.53
1.37,3,3787.29,32991,30460,8621121,528868,1042,1,0,0,1,137.25
1.29,3,6438.27,27211,32991,3770125,8621121,1426,0,0,0,1,349.53
1.22,3,3536.16,24510,32991,379566,8621121,1076,1,0,0,1,143.2
1.21,3,4567.2,24706,21207,9056076,2105604,2336,1,0,1,1,207.83
