Credit.Grade_A,Credit.Grade_AA,Credit.Grade_B,Credit.Grade_C,Credit.Grade_D,Credit.Grade_E,Credit.Grade_HR,Credit.Grade_NC,Age,Amount,Borrower.Rate,Debt.To.Income.Ratio,Status
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,5000.0,0.27,0.27,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4000.0,0.146,0.17,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2500.0,0.25,0.29,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6500.0,0.086,0.11,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1500.0,0.11,0.25,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10000.0,0.125,0.12,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2500.0,0.08,0.04,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2000.0,0.29,0.08,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5000.0,0.1685,0.25,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5000.0,0.25,0.18,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3050.0,0.249,0.3,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2000.0,0.11,0.41,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5000.0,0.15,0.19,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3200.0,0.12,0.439,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2000.0,0.1575,0.028,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4400.0,0.0815,0.16,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5000.0,0.138,0.09,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6500.0,0.22,0.18,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3000.0,0.149,0.16,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3000.0,0.259,0.1,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4000.0,0.15,0.353,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,16000.0,0.18,0.23,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1000.0,0.2875,0.1,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7000.0,0.21,0.12,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5000.0,0.1,0.17,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2550.0,0.28,0.04,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2800.0,0.28,0.04,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2550.0,0.225,0.07,0
