Age,KM,HP,CC,Gears,QuartTax,Weight,AirbagP_1,Fuel_Type_Diesel,Fuel_Type_Petrol,Backseat_Divider_1,Automatic_1,Sport_Model_1,AirbagD_1,Power_Steering_1,Metallic_1,Parking_Assistant_1,ABS_1,AirCon_1,Metallic_Rim_1,Mfr_Guarantee_1,Doors_3,Doors_4,Doors_5,Price
65.0,78076.0,86.0,1300.0,5.0,69.0,1015.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7950
73.0,59240.0,110.0,1600.0,5.0,69.0,1050.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9900
56.0,43700.0,86.0,1300.0,5.0,69.0,1025.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10750
58.0,69022.0,86.0,1300.0,5.0,69.0,1035.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6950
44.0,49332.0,110.0,1600.0,5.0,85.0,1080.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,12495
33.0,33591.0,110.0,1600.0,5.0,85.0,1075.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12950
43.0,27301.0,110.0,1600.0,5.0,69.0,1040.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12950
70.0,124743.0,110.0,1600.0,5.0,69.0,1050.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8450
30.0,38950.0,110.0,1600.0,5.0,85.0,1130.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15999
54.0,103454.0,110.0,1600.0,5.0,85.0,1075.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9950
