Age,Experience,Income,Family,CCAvg,Mortgage,Securities_Account,CD_Account,Online,CreditCard,Education_GR,Education_UG,Personal_Loan
25.0,-1.0,101.0,4.0,2.3,256.0,0.0,0.0,0.0,1.0,0.0,0.0,0
58.0,33.0,142.0,2.0,3.9,193.0,0.0,0.0,1.0,1.0,0.0,1.0,0
30.0,6.0,141.0,2.0,4.33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
59.0,34.0,42.0,3.0,1.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0
41.0,15.0,159.0,1.0,5.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
31.0,1.0,60.0,4.0,4.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25.0,1.0,62.0,4.0,0.0,229.0,0.0,0.0,1.0,0.0,0.0,1.0,0
65.0,41.0,133.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
38.0,13.0,129.0,4.0,4.4,140.0,0.0,0.0,0.0,0.0,0.0,1.0,1
61.0,35.0,61.0,3.0,2.2,117.0,0.0,0.0,1.0,1.0,0.0,0.0,0
44.0,20.0,105.0,1.0,4.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
48.0,24.0,84.0,3.0,0.7,166.0,0.0,0.0,1.0,0.0,0.0,1.0,0
48.0,24.0,79.0,4.0,1.4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
28.0,4.0,69.0,3.0,0.7,80.0,0.0,0.0,1.0,0.0,1.0,0.0,0
32.0,8.0,20.0,1.0,0.5,102.0,0.0,0.0,1.0,0.0,0.0,0.0,0
36.0,12.0,84.0,1.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
60.0,35.0,34.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
57.0,32.0,63.0,4.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
47.0,21.0,90.0,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58.0,34.0,149.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0
55.0,29.0,172.0,1.0,5.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
54.0,30.0,54.0,1.0,1.6,185.0,0.0,0.0,1.0,0.0,0.0,0.0,0
54.0,28.0,83.0,1.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
53.0,27.0,122.0,1.0,2.4,330.0,0.0,0.0,0.0,0.0,0.0,1.0,0
54.0,29.0,44.0,2.0,2.3,187.0,0.0,0.0,1.0,0.0,0.0,0.0,0
53.0,28.0,44.0,3.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
45.0,19.0,58.0,2.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
42.0,18.0,142.0,1.0,3.4,496.0,0.0,0.0,1.0,0.0,0.0,1.0,0
65.0,40.0,69.0,4.0,0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
51.0,26.0,72.0,1.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
57.0,31.0,39.0,4.0,0.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
33.0,7.0,32.0,1.0,0.6,166.0,0.0,0.0,1.0,0.0,0.0,0.0,0
48.0,22.0,162.0,3.0,1.4,400.0,0.0,0.0,0.0,0.0,0.0,1.0,1
37.0,11.0,84.0,4.0,2.2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
49.0,25.0,91.0,4.0,1.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
28.0,2.0,93.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
58.0,32.0,12.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30.0,6.0,82.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
63.0,37.0,30.0,2.0,1.0,159.0,0.0,0.0,1.0,0.0,0.0,0.0,0
62.0,37.0,19.0,3.0,0.5,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0
46.0,22.0,164.0,2.0,7.6,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0
39.0,9.0,29.0,3.0,2.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0
27.0,2.0,112.0,4.0,1.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
36.0,11.0,162.0,1.0,8.6,153.0,1.0,0.0,1.0,0.0,0.0,1.0,0
61.0,31.0,130.0,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
43.0,17.0,21.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
39.0,14.0,85.0,3.0,1.2,107.0,0.0,0.0,1.0,1.0,0.0,0.0,0
65.0,41.0,40.0,3.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
52.0,26.0,38.0,3.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
65.0,40.0,21.0,3.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
50.0,24.0,45.0,4.0,0.1,93.0,0.0,0.0,1.0,0.0,0.0,1.0,0
28.0,3.0,118.0,3.0,2.4,161.0,0.0,0.0,0.0,0.0,1.0,0.0,1
60.0,36.0,79.0,1.0,1.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
39.0,15.0,78.0,4.0,2.4,118.0,0.0,0.0,1.0,0.0,0.0,1.0,0
62.0,32.0,33.0,1.0,1.5,140.0,0.0,0.0,1.0,1.0,0.0,0.0,0
59.0,33.0,50.0,2.0,2.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
63.0,37.0,41.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
64.0,40.0,18.0,2.0,0.3,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0
64.0,39.0,49.0,2.0,1.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
64.0,39.0,73.0,3.0,2.2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
33.0,7.0,14.0,1.0,0.4,98.0,0.0,0.0,1.0,0.0,1.0,0.0,0
28.0,3.0,149.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
26.0,2.0,79.0,2.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
63.0,37.0,149.0,2.0,0.2,364.0,0.0,0.0,1.0,0.0,0.0,0.0,1
37.0,13.0,153.0,2.0,6.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0
